Column1,ObjNAME,ObjTYPE,Path,ObjREFERENCE,ObjREFERENCEtype,,
0,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B01",SCBRAN,,Row Labels
1,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B01",SCBRAN,,/ASBHA-B-5410
2,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-2""-DPS-500175-AX2/B01",SCBRAN,,"/ASBH-1""-AI-542001-AD1/B01"
4,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B04",SCBRAN,,"/ASBH-1""-AI-542002-AD1/B01"
6,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B05",SCBRAN,,"/ASBH-3""-DO-544502-AT1/B01"
8,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500163-AX2/B06",SCBRAN,,/ASBHA-C-5401
11,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500162-AX2/B01",SCBRAN,,"/ASBH-3""-AI-541005-AS1/B01"
12,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B05",SCBRAN,,"/ASBH-3""-AI-541006-AS1/B01"
14,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B04",SCBRAN,,"/ASBH-3""-AI-541006-AS1/B02"
16,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500165-AX1/B03",SCBRAN,,"/ASBH-3""-AI-541007-AS1/B01"
18,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-2""-DPS-500186-AX1/B01",SCBRAN,,"/ASBH-4""-AU-541008-AS1/B02"
20,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B01",SCBRAN,,"/ASBH-4""-AU-541008-AS1/B03"
23,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-2""-DPS-500167-AX1/B01",SCBRAN,,/ASBHA-C-5411
25,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500162-AX2/B02",SCBRAN,,"/ASBH-3""-AU-541011-AS1/B03"
27,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N1,"/ASBH-4""-DPS-500164-AX2/B01",SCBRAN,,/ASBHA-EJ-3409
30,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-2""-DPS-500187-AX1/B01",SCBRAN,,"/ASBH-2""-WI-349002-BM1/B01"
31,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-2""-DPS-500188-AX1/B01",SCBRAN,,"/ASBH-2""-WOS-340068-BM1/B01"
32,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B02",SCBRAN,,"/ASBH-2""-WOS-340068-BM1/B02"
34,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B03",SCBRAN,,"/ASBH-2""-WOS-340068-BM1/B03"
36,/ASBHA-P-5003,SCEQUI,/ASBHA-P-5003/N2,"/ASBH-3""-DPS-500166-AX1/B04",SCBRAN,,"/ASBH-2""-WOS-340160-BM1/B04"
