"ObjNAME","ObjTYPE","ObjREFERENCE", "ref type"
"/=1140891890/16178/B02","SCBRAN","=1140916466/4390","head"
"/=1140891890/16178/B02","SCBRAN","/PFD-ASBJA-E-3412","tail"
"/=1140891890/16178/B03","SCBRAN","Unset","head"
"/=1140891890/16178/B03","SCBRAN","Unset","tail"
"/=1140891890/16178/B04","SCBRAN","=1140875506/44109","head"
"/=1140891890/16178/B04","SCBRAN","=1140891890/16176","tail"
"/=1140867314/175543/B01","SCBRAN","/PFD-ASBJA-E-3412","head"
"/=1140867314/175543/B01","SCBRAN","/PFD-ASBJA-E-3411","tail"
"/=1140867314/175550/B01","SCBRAN","/PFD-ASBJA-E-3411","head"
"/=1140867314/175550/B01","SCBRAN","/PFD-ASBJA-E-3412","tail"
"/=1140867314/175555/B01","SCBRAN","/PFD-ASBJA-E-3411","head"
"/=1140867314/175555/B01","SCBRAN","/PFD-ASBJA-E-3415","tail"
"/=1140867314/175564/B01","SCBRAN","=1140867314/175571","head"
"/=1140867314/175564/B01","SCBRAN","=1140867314/175609","tail"
"/=1140867314/175579/B01","SCBRAN","/PFD-ASBJA-E-3412","head"
"/=1140867314/175579/B01","SCBRAN","=1140867314/175635","tail"
"/=1140867314/175588/B01","SCBRAN","=1140867314/175595","head"
"/=1140867314/175588/B01","SCBRAN","/PFD-ASBJA-E-3414","tail"
"/=1140867314/175613/B01","SCBRAN","/PFD-ASBJA-E-3414","head"
"/=1140867314/175613/B01","SCBRAN","/PFD-ASBJA-E-3413","tail"
"/=1140867314/175620/B01","SCBRAN","/PFD-ASBJA-E-3413","head"
"/=1140867314/175620/B01","SCBRAN","/PFD-ASBJA-E-3414","tail"
"/=1140867314/175625/B01","SCBRAN","/PFD-ASBJA-E-3414","head"
"/=1140867314/175625/B01","SCBRAN","/PFD-ASBJA-V-2712","tail"
"/=1140867314/175625/B02","SCBRAN","=1140883698/26301","head"
"/=1140867314/175625/B02","SCBRAN","=1140883698/26307","tail"
"/=1140867314/175645/B01","SCBRAN","/PFD-ASBJA-E-3413","head"
"/=1140867314/175645/B01","SCBRAN","Unset","tail"
"/=1140867314/175663/B02","SCBRAN","=1140875506/33423","head"
"/=1140867314/175663/B02","SCBRAN","=1140875506/33429","tail"
"/=1140867314/175672/B01","SCBRAN","=1140867314/175679","head"
"/=1140867314/175672/B01","SCBRAN","/PFD-ASBJA-E-3413","tail"
"/=1140867314/175697/B01","SCBRAN","/PFD-ASBJA-E-3415","head"
"/=1140867314/175697/B01","SCBRAN","Unset","tail"
"/=1140867314/175697/B02","SCBRAN","=1140891890/23110","head"
"/=1140867314/175697/B02","SCBRAN","=1140867314/175725","tail"
