"ObjNAME","ObjTYPE","ObjREFERENCE"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","/ASBH-ILINE-0428-03/B04","SCBRAN"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/892","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","/ASBH-ILINE-0428-03/B03","SCBRAN"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073763642/894","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","/ASBH-ILINE-0428-03/B10","SCBRAN"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073788218/15823","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","/ASBH-ILINE-0428-03/B05","SCBRAN"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/899","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","/ASBH-ILINE-0428-03/B07","SCBRAN"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/936","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","/ASBH-ILINE-0429-01/B10","SCBRAN"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073763642/948","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","/ASBH-ILINE-0428-03/B23","SCBRAN"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073771834/43052","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","/ASBH-2""-PHS-381309-FD6/B01","SCBRAN"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1036","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1040","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1042","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1044","SCFITT","Unset"
"=1073763642/1046","SCFITT","Unset"
"=1073763642/1046","SCFITT","Unset"
"=1073763642/1046","SCFITT","/ASBH-24""-PHS-381313-FD6/B04","SCBRAN"
"=1073763642/1046","SCFITT","Unset"
"=1073763642/1046","SCFITT","Unset"
"=1073763642/1046","SCFITT","Unset"
"=1073763642/1046","SCFITT","Unset"
