"ObjNAME","ObjTYPE","ObjREFERENCE"
"=1140867314/175571","SCFITT","/=1140867314/175564/B01","SCBRAN"
"=1140867314/175595","SCFITT","/=1140867314/175588/B01","SCBRAN"
"=1140891890/16112","SCFITT","/=1140875506/35294/B01","SCBRAN"
"=1140891890/16132","SCFITT","/=1140875506/35442/B01","SCBRAN"
"=1140875506/44109","SCFITT","/=1140891890/16178/B04","SCBRAN"
"=1140916466/4390","SCFITT","/=1140891890/16178/B02","SCBRAN"
"=1140875506/37685","SCFITT","/=1140875506/37715/B01","SCBRAN"
"=1140875506/37687","SCFITT","/=1140875506/37727/B01","SCBRAN"
"=1140867314/175609","SCFITT","/=1140867314/175564/B01","SCBRAN"
"=1140867314/175793","SCFITT","/=1140867314/175786/B01","SCBRAN"
"=1140867314/175635","SCFITT","/=1140867314/175579/B01","SCBRAN"
"=1140875506/33429","SCFITT","/=1140867314/175663/B02","SCBRAN"
"=1140891890/17692","SCFITT","/=1140867314/177318/B02","SCBRAN"
"=1140891890/17607","SCFITT","/=1140883698/26193/B04","SCBRAN"
"=1140883698/26301","SCFITT","/=1140867314/175625/B02","SCBRAN"
"=1140867314/175774","SCFITT","/=1140867314/175743/B01","SCBRAN"
"=1140891890/23110","SCFITT","/=1140867314/175697/B02","SCBRAN"
"=1140867314/175823","SCFITT","/=1140867314/175812/B01","SCBRAN"
"=1140867314/249610","SCFITT","=1140867314/190109","SCBRAN"
"=1140867314/175862","SCFITT","/=1140867314/175855/B01","SCBRAN"
"=1140867314/175888","SCFITT","/=1140867314/175875/B01","SCBRAN"
"=1140867314/175804","SCFITT","/=1140867314/175786/B01","SCBRAN"
"=1140867314/175845","SCFITT","/=1140867314/175797/B01","SCBRAN"
"=1140891890/23114","SCFITT","/=1140867314/175812/B02","SCBRAN"
"=1140875506/37705","SCFITT","Unconnected"
"=1140875506/37707","SCFITT","/=1140875506/37715/B01","SCBRAN"
"=1140875506/37711","SCFITT","/=1140875506/37819/B01","SCBRAN"
"=1140875506/37747","SCFITT","/=1140875506/37721/B01","SCBRAN"
"=1140875506/37749","SCFITT","/=1140875506/37760/B01","SCBRAN"
"=1140891890/17698","SCFITT","/=1140867314/177318/B02","SCBRAN"
"=1140891890/17613","SCFITT","/=1140883698/26193/B04","SCBRAN"
"=1140883698/26499","SCFITT","/=1140875506/37741/B02","SCBRAN"
"=1140875506/37780","SCFITT","/=1140875506/37803/B01","SCBRAN"
"=1140891890/23120","SCFITT","/=1140875506/37772/B02","SCBRAN"
"=1140875506/37784","SCFITT","/=1140875506/37836/B01","SCBRAN"
"=1140867314/249616","SCFITT","/=1140875506/37025/B01","SCBRAN"
"=1140883698/28528","SCFITT","Unconnected"
"=1140875506/37815","SCFITT","/=1140875506/37859/B01","SCBRAN"
