"ObjNAME","ObjTYPE","ObjREFERENCE"
"/PFD-ASBJA-PC-340101","SCOINS","/=1140867314/200666/B02"
"/PFD-ASBJA-PC-340101","SCOINS","=1140867314/200701"
"/PFD-ASBJA-FC-341101","SCOINS","=1140867314/200697"
"/PFD-ASBJA-FC-342101","SCOINS","=1140867314/200700"
"/PFD-ASBJA-FT-341101","SCOINS","=1140867314/200629"
"/PFD-ASBJA-FT-341101","SCOINS","/PFD-ASBJA-FC-341101"
"/PFD-ASBJA-PT-341159","SCOINS","/=1140891890/28743/B04"
"/PFD-ASBJA-PT-341159","SCOINS","=1140875506/55471"
"/PFD-ASBJA-FT-342101","SCOINS","/PFD-ASBJA-FC-342101"
"/PFD-ASBJA-FT-342101","SCOINS","=1140867314/200649"
"/PFD-ASBJA-PT-342159","SCOINS","/=1140867314/200621/B05"
"/PFD-ASBJA-TC-341503","SCOINS","/=1140867314/201170/B07"
"/PFD-ASBJA-TC-341503","SCOINS","=1140867314/201293"
"/PFD-ASBJA-TC-341603","SCOINS","/=1140867314/208460/B04"
"/PFD-ASBJA-TC-341603","SCOINS","=1140867314/201302"
"/PFD-ASBJA-PT-341180","SCOINS","/=1140891890/28776/B03"
"/PFD-ASBJA-PT-341180","SCOINS","=1140891890/28799"
"/PFD-ASBJA-PT-341380","SCOINS","/=1140891890/28843/B03"
"/PFD-ASBJA-PT-341380","SCOINS","=1140891890/28861"
"/PFD-ASBJA-TT-341609","SCOINS","/=1140867314/208460/B03"
"/PFD-ASBJA-TT-341609","SCOINS","=1140867314/208443"
"/PFD-ASBJA-PT-341607","SCOINS","/=1140867314/201144/B03"
"/PFD-ASBJA-PT-341607","SCOINS","=1140867314/208473"
"/PFD-ASBJA-TT-341509","SCOINS","/=1140867314/201170/B06"
"/PFD-ASBJA-TT-341509","SCOINS","=1140867314/208528"
"/PFD-ASBJA-PT-341507","SCOINS","/=1140867314/208514/B03"
"/PFD-ASBJA-PT-341507","SCOINS","=1140867314/208546"
"/PFD-ASBJA-TC-342503","SCOINS","/=1140891890/29237/B07"
"/PFD-ASBJA-TC-342503","SCOINS","=1140891890/29267"
"/PFD-ASBJA-TC-342603","SCOINS","/=1140891890/29274/B04"
"/PFD-ASBJA-TC-342603","SCOINS","=1140891890/29291"
"/PFD-ASBJA-PT-342180","SCOINS","/=1140891890/29349/B03"
"/PFD-ASBJA-PT-342180","SCOINS","=1140891890/29362"
"/PFD-ASBJA-PT-342380","SCOINS","/=1140891890/29383/B03"
"/PFD-ASBJA-PT-342380","SCOINS","=1140891890/29396"
"/PFD-ASBJA-TT-342609","SCOINS","/=1140891890/29274/B03"
"/PFD-ASBJA-TT-342609","SCOINS","=1140891890/29409"
"/PFD-ASBJA-PT-342607","SCOINS","/=1140891890/29140/B03"
"/PFD-ASBJA-PT-342607","SCOINS","=1140891890/29416"
"/PFD-ASBJA-TT-342509","SCOINS","/=1140891890/29237/B06"
"/PFD-ASBJA-TT-342509","SCOINS","=1140891890/29442"
"/PFD-ASBJA-PT-342507","SCOINS","/=1140891890/29428/B02"
"/PFD-ASBJA-PT-342507","SCOINS","=1140891890/29449"
"/PFD-ASBJA-LT-341128","SCOINS","/PFD-ASBJA-V-3411"
"/PFD-ASBJA-LT-341128","SCOINS","=1140883698/39503"
"/PFD-ASBJA-LC-341129","SCOINS","/=1140867314/202185/B07"
"/PFD-ASBJA-LC-341129","SCOINS","/PFD-ASBJA-V-3411"
"/PFD-ASBJA-PC-341123","SCOINS","=1140867314/202173"
"/PFD-ASBJA-PC-341123","SCOINS","/PFD-ASBJA-V-3411"
"/PFD-ASBJA-FT-341138","SCOINS","/=1140867314/202185/B03"
"/PFD-ASBJA-FT-341138","SCOINS","=1140867314/202070"
"/PFD-ASBJA-DI-341138","SCOINS","=1140867314/202070"
"/PFD-ASBJA-XI-341138","SCOINS","No refs"
"/PFD-ASBJA-FC-341138","SCOINS","=1140867314/212789"
"/PFD-ASBJA-FC-341138","SCOINS","/=1140867314/202185/B02"
"/PFD-ASBJA-LC-341138","SCOINS","/PFD-ASBJA-V-3411"
"/PFD-ASBJA-LC-341138","SCOINS","/PFD-ASBJA-FC-341138"
